State,State Abr.,County,City,ZipCode
Alaska,AK,Ketchikan Gateway,Ketchikan,99950
Alaska,AK,Wrangell,Wrangell,99929
Alaska,AK,Ketchikan Gateway,Ward Cove,99928
Alaska,AK,Prince Of Wales Hyder,Point Baker,99927
Alaska,AK,Prince Of Wales Hyder,Metlakatla,99926
Alaska,AK,Prince Of Wales Hyder,Klawock,99925
Alaska,AK,Prince Of Wales Hyder,Hyder,99923
Alaska,AK,Prince Of Wales Hyder,Hydaburg,99922
Alaska,AK,Prince Of Wales Hyder,Craig,99921
Alaska,AK,Prince Of Wales Hyder,Thorne Bay,99919
Alaska,AK,Prince Of Wales Hyder,Coffman Cove,99918
Alaska,AK,Ketchikan Gateway,Meyers Chuck,99903
Alaska,AK,Ketchikan Gateway,Ketchikan,99901
Alaska,AK,Juneau,Juneau,99850
Alaska,AK,Hoonah Angoon,Tenakee Springs,99841
Alaska,AK,Skagway,Skagway,99840
Alaska,AK,Sitka,Port Alexander,99836
Alaska,AK,Sitka,Sitka,99835
Alaska,AK,Petersburg,Petersburg,99833
Alaska,AK,Hoonah Angoon,Pelican,99832
Alaska,AK,Petersburg,Kake,99830
Alaska,AK,Hoonah Angoon,Hoonah,99829
Alaska,AK,Haines,Haines,99827
Alaska,AK,Hoonah Angoon,Gustavus,99826
Alaska,AK,Hoonah Angoon,Elfin Cove,99825
Alaska,AK,Juneau,Douglas,99824
Alaska,AK,Juneau,Auke Bay,99821
Alaska,AK,Hoonah Angoon,Angoon,99820
Alaska,AK,Juneau,Juneau,99812
Alaska,AK,Juneau,Juneau,99811
Alaska,AK,Juneau,Juneau,99803
Alaska,AK,Juneau,Juneau,99802
Alaska,AK,Juneau,Juneau,99801
Alaska,AK,North Slope,Atqasuk,99791
Alaska,AK,Fairbanks North Star,Fairbanks,99790
Alaska,AK,North Slope,Nuiqsut,99789
Alaska,AK,Yukon Koyukuk,Chalkyitsik,99788
Alaska,AK,Northwest Arctic,Ambler,99786
Alaska,AK,Nome,Brevig Mission,99785
Alaska,AK,Nome,White Mountain,99784
Alaska,AK,Nome,Wales,99783
Alaska,AK,North Slope,Wainwright,99782
Alaska,AK,Yukon Koyukuk,Venetie,99781
Alaska,AK,Southeast Fairbanks,Tok,99780
Alaska,AK,Nome,Teller,99778
Alaska,AK,Yukon Koyukuk,Tanana,99777
Alaska,AK,Southeast Fairbanks,Tanacross,99776
Alaska,AK,Fairbanks North Star,Fairbanks,99775
Alaska,AK,Yukon Koyukuk,Stevens Village,99774
Alaska,AK,Northwest Arctic,Shungnak,99773
Alaska,AK,Nome,Shishmaref,99772
Alaska,AK,Nome,Shaktoolik,99771
Alaska,AK,Northwest Arctic,Selawik,99770
Alaska,AK,Nome,Savoonga,99769
Alaska,AK,Yukon Koyukuk,Ruby,99768
Alaska,AK,Yukon Koyukuk,Rampart,99767
Alaska,AK,North Slope,Point Hope,99766
Alaska,AK,Yukon Koyukuk,Nulato,99765
Alaska,AK,Southeast Fairbanks,Northway,99764
Alaska,AK,Northwest Arctic,Noorvik,99763
Alaska,AK,Nome,Nome,99762
Alaska,AK,Northwest Arctic,Noatak,99761
Alaska,AK,Yukon Koyukuk,Nenana,99760
Alaska,AK,North Slope,Point Lay,99759
Alaska,AK,Yukon Koyukuk,Minto,99758
Alaska,AK,Yukon Koyukuk,Lake Minchumina,99757
Alaska,AK,Yukon Koyukuk,Manley Hot Springs,99756
Alaska,AK,Denali,Denali National Park,99755
Alaska,AK,Yukon Koyukuk,Koyukuk,99754
Alaska,AK,Nome,Koyuk,99753
Alaska,AK,Northwest Arctic,Kotzebue,99752
Alaska,AK,Northwest Arctic,Kobuk,99751
Alaska,AK,Northwest Arctic,Kivalina,99750
Alaska,AK,Northwest Arctic,Kiana,99749
Alaska,AK,Yukon Koyukuk,Kaltag,99748
Alaska,AK,North Slope,Kaktovik,99747
Alaska,AK,Yukon Koyukuk,Huslia,99746
Alaska,AK,Yukon Koyukuk,Hughes,99745
Alaska,AK,Denali,Anderson,99744
Alaska,AK,Denali,Healy,99743
Alaska,AK,Nome,Gambell,99742
Alaska,AK,Yukon Koyukuk,Galena,99741
Alaska,AK,Yukon Koyukuk,Fort Yukon,99740
Alaska,AK,Nome,Elim,99739
Alaska,AK,Southeast Fairbanks,Eagle,99738
Alaska,AK,Southeast Fairbanks,Delta Junction,99737
Alaska,AK,Northwest Arctic,Deering,99736
Alaska,AK,North Slope,Prudhoe Bay,99734
Alaska,AK,Yukon Koyukuk,Circle,99733
Alaska,AK,Southeast Fairbanks,Chicken,99732
Alaska,AK,Southeast Fairbanks,Fort Greely,99731
Alaska,AK,Yukon Koyukuk,Central,99730
Alaska,AK,Denali,Cantwell,99729
Alaska,AK,Northwest Arctic,Buckland,99727
Alaska,AK,Yukon Koyukuk,Bettles Field,99726
Alaska,AK,Fairbanks North Star,Ester,99725
Alaska,AK,Yukon Koyukuk,Beaver,99724
Alaska,AK,North Slope,Barrow,99723
Alaska,AK,Yukon Koyukuk,Arctic Village,99722
Alaska,AK,North Slope,Anaktuvuk Pass,99721
Alaska,AK,Yukon Koyukuk,Allakaket,99720
Alaska,AK,Fairbanks North Star,Two Rivers,99716
Alaska,AK,Fairbanks North Star,Salcha,99714
Alaska,AK,Fairbanks North Star,Fairbanks,99712
Alaska,AK,Fairbanks North Star,Fairbanks,99711
Alaska,AK,Fairbanks North Star,Fairbanks,99710
Alaska,AK,Fairbanks North Star,Fairbanks,99709
Alaska,AK,Fairbanks North Star,Fairbanks,99708
Alaska,AK,Fairbanks North Star,Fairbanks,99707
Alaska,AK,Fairbanks North Star,Fairbanks,99706
Alaska,AK,Fairbanks North Star,North Pole,99705
Alaska,AK,Denali,Clear,99704
Alaska,AK,Fairbanks North Star,Fort Wainwright,99703
Alaska,AK,Fairbanks North Star,Eielson Afb,99702
Alaska,AK,Fairbanks North Star,Fairbanks,99701
Alaska,AK,Kodiak Island,Kodiak,99697
Alaska,AK,Anchorage,Anchorage,99695
Alaska,AK,Matanuska Susitna,Houston,99694
Alaska,AK,Valdez Cordova,Whittier,99693
Alaska,AK,Aleutians West,Dutch Harbor,99692
Alaska,AK,Yukon Koyukuk,Nikolai,99691
Alaska,AK,Bethel,Nightmute,99690
Alaska,AK,Yakutat,Yakutat,99689
Alaska,AK,Matanuska Susitna,Willow,99688
Alaska,AK,Matanuska Susitna,Wasilla,99687
Alaska,AK,Valdez Cordova,Valdez,99686
Alaska,AK,Aleutians West,Unalaska,99685
Alaska,AK,Nome,Unalakleet,99684
Alaska,AK,Matanuska Susitna,Trapper Creek,99683
Alaska,AK,Kenai Peninsula,Tyonek,99682
Alaska,AK,Bethel,Tununak,99681
Alaska,AK,Bethel,Tuntutuliak,99680
Alaska,AK,Bethel,Tuluksak,99679
Alaska,AK,Dillingham,Togiak,99678
Alaska,AK,Valdez Cordova,Tatitlek,99677
Alaska,AK,Matanuska Susitna,Talkeetna,99676
Alaska,AK,Yukon Koyukuk,Takotna,99675
Alaska,AK,Matanuska Susitna,Sutton,99674
Alaska,AK,Kenai Peninsula,Sterling,99672
Alaska,AK,Nome,Stebbins,99671
Alaska,AK,Bristol Bay,South Naknek,99670
Alaska,AK,Kenai Peninsula,Soldotna,99669
Alaska,AK,Bethel,Sleetmute,99668
Alaska,AK,Matanuska Susitna,Skwentna,99667
Alaska,AK,Wade Hampton,Nunam Iqua,99666
Alaska,AK,Yukon Koyukuk,Shageluk,99665
Alaska,AK,Kenai Peninsula,Seward,99664
Alaska,AK,Kenai Peninsula,Seldovia,99663
Alaska,AK,Wade Hampton,Scammon Bay,99662
Alaska,AK,Aleutians East,Sand Point,99661
Alaska,AK,Aleutians West,Saint Paul Island,99660
Alaska,AK,Nome,Saint Michael,99659
Alaska,AK,Wade Hampton,Saint Marys,99658
Alaska,AK,Wade Hampton,Russian Mission,99657
Alaska,AK,Bethel,Red Devil,99656
Alaska,AK,Bethel,Quinhagak,99655
Alaska,AK,Matanuska Susitna,Wasilla,99654
Alaska,AK,Lake And Peninsula,Port Alsworth,99653
Alaska,AK,Matanuska Susitna,Big Lake,99652
Alaska,AK,Bethel,Platinum,99651
Alaska,AK,Wade Hampton,Pilot Station,99650
Alaska,AK,Lake And Peninsula,Pilot Point,99649
Alaska,AK,Lake And Peninsula,Perryville,99648
Alaska,AK,Lake And Peninsula,Pedro Bay,99647
Alaska,AK,Matanuska Susitna,Palmer,99645
Alaska,AK,Kodiak Island,Ouzinkie,99644
Alaska,AK,Kodiak Island,Old Harbor,99643
Alaska,AK,Bethel,Nunapitchuk,99641
Alaska,AK,Lake And Peninsula,Nondalton,99640
Alaska,AK,Kenai Peninsula,Ninilchik,99639
Alaska,AK,Aleutians West,Nikolski,99638
Alaska,AK,Bethel,Toksook Bay,99637
Alaska,AK,Dillingham,New Stuyahok,99636
Alaska,AK,Kenai Peninsula,Nikiski,99635
Alaska,AK,Bethel,Napakiak,99634
Alaska,AK,Bristol Bay,Naknek,99633
Alaska,AK,Wade Hampton,Mountain Village,99632
Alaska,AK,Kenai Peninsula,Moose Pass,99631
Alaska,AK,Bethel,Mekoryuk,99630
Alaska,AK,Matanuska Susitna,Wasilla,99629
Alaska,AK,Dillingham,Manokotak,99628
Alaska,AK,Yukon Koyukuk,Mc Grath,99627
Alaska,AK,Bethel,Lower Kalskag,99626
Alaska,AK,Lake And Peninsula,Levelock,99625
Alaska,AK,Kodiak Island,Larsen Bay,99624
Alaska,AK,Matanuska Susitna,Wasilla,99623
Alaska,AK,Bethel,Kwigillingok,99622
Alaska,AK,Bethel,Kwethluk,99621
Alaska,AK,Wade Hampton,Kotlik,99620
Alaska,AK,Kodiak Island,Kodiak,99619
Alaska,AK,Kodiak Island,Kodiak,99615
Alaska,AK,Bethel,Kipnuk,99614
Alaska,AK,Bristol Bay,King Salmon,99613
Alaska,AK,Aleutians East,King Cove,99612
Alaska,AK,Kenai Peninsula,Kenai,99611
Alaska,AK,Kenai Peninsula,Kasilof,99610
Alaska,AK,Bethel,Kasigluk,99609
Alaska,AK,Kodiak Island,Karluk,99608
Alaska,AK,Bethel,Kalskag,99607
Alaska,AK,Lake And Peninsula,Iliamna,99606
Alaska,AK,Kenai Peninsula,Hope,99605
Alaska,AK,Wade Hampton,Hooper Bay,99604
Alaska,AK,Kenai Peninsula,Homer,99603
Alaska,AK,Yukon Koyukuk,Holy Cross,99602
Alaska,AK,Anchorage,Anchorage,99599
Alaska,AK,Aleutians West,Saint George Island,99591
Alaska,AK,Yukon Koyukuk,Grayling,99590
Alaska,AK,Bethel,Goodnews Bay,99589
Alaska,AK,Valdez Cordova,Glennallen,99588
Alaska,AK,Anchorage,Girdwood,99587
Alaska,AK,Valdez Cordova,Gakona,99586
Alaska,AK,Wade Hampton,Marshall,99585
Alaska,AK,Aleutians East,False Pass,99583
